room-type,rate-plan,other-rates,roomkey-rates,room-name,room-description
STD,MKTVWO,210,210,Standard Twin - 2 SGL Beds,Enjoy accommodations up to 10% off best available rate plus daily breakfast for adult when you pay with Visa card.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
STD,MKTEXC,215,215,Standard Twin - 2 SGL Beds,Free WiFi. Unrestricted room only rate.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SRB,MKTVWO,235,235,Superior Twin - 2 SGL Beds,Enjoy accommodations up to 10% off best available rate plus daily breakfast for adult when you pay with Visa card.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SRB,MKTEXC,242,242,Superior Twin - 2 SGL Beds,Free WiFi. Unrestricted room only rate.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
STD,MKTGBB,253,253,Standard Twin - 2 SGL Beds,Enjoy our best available rate - daily breakfast for adult *Daily breakfast offered to adult only age of 13 years old and higher. Children under 12 years old are not apply to breakfast offer.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SRB,MKTGBB,280,280,Superior Twin - 2 SGL Beds,Enjoy our best available rate - daily breakfast for adult *Daily breakfast offered to adult only age of 13 years old and higher. Children under 12 years old are not apply to breakfast offer.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SSD,MKTVWO,198,198,Economy Double - 1 Double Bed,Enjoy accommodations up to 10% off best available rate plus daily breakfast for adult when you pay with Visa card.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SSD,MKTEXC,201,201,Economy Double - 1 Double Bed,Free WiFi. Unrestricted room only rate.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SSD,MKTGBB,239,239,Economy Double - 1 Double Bed,Enjoy our best available rate - daily breakfast for adult *Daily breakfast offered to adult only age of 13 years old and higher. Children under 12 years old are not apply to breakfast offer.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SSDT,MKTVWO,206,206,Economy Double Tower View - Queen Bed,Enjoy accommodations up to 10% off best available rate plus daily breakfast for adult when you pay with Visa card.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SSDT,MKTEXC,210,210,Economy Double Tower View - Queen Bed,Free WiFi. Unrestricted room only rate.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SDD,MKTVWO,210,210,Standard Double - 1 Queen Bed,Enjoy accommodations up to 10% off best available rate plus daily breakfast for adult when you pay with Visa card.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SDD,MKTEXC,215,215,Standard Double - 1 Queen Bed,Free WiFi. Unrestricted room only rate.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SDC,MKTVWO,227,227,Moderate Double - 1 Queen Bed,Enjoy accommodations up to 10% off best available rate plus daily breakfast for adult when you pay with Visa card.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SDC,MKTEXC,233,233,Moderate Double - 1 Queen Bed,Free WiFi. Unrestricted room only rate.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SSDT,MKTGBB,248,248,Economy Double Tower View - Queen Bed,Enjoy our best available rate - daily breakfast for adult *Daily breakfast offered to adult only age of 13 years old and higher. Children under 12 years old are not apply to breakfast offer.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SDD,MKTGBB,253,253,Standard Double - 1 Queen Bed,Enjoy our best available rate - daily breakfast for adult *Daily breakfast offered to adult only age of 13 years old and higher. Children under 12 years old are not apply to breakfast offer.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SDC,MKTGBB,271,271,Moderate Double - 1 Queen Bed,Enjoy our best available rate - daily breakfast for adult *Daily breakfast offered to adult only age of 13 years old and higher. Children under 12 years old are not apply to breakfast offer.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SHD,MKTVWO,219,219,Standard King - 1 King Bed,Enjoy accommodations up to 10% off best available rate plus daily breakfast for adult when you pay with Visa card.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SHD,MKTEXC,224,224,Standard King - 1 King Bed,Free WiFi. Unrestricted room only rate.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
PHD,MKTEXC,251,251,Premium Floor Standard King,Free WiFi. Unrestricted room only rate.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SHD,MKTGBB,262,262,Standard King - 1 King Bed,Enjoy our best available rate - daily breakfast for adult *Daily breakfast offered to adult only age of 13 years old and higher. Children under 12 years old are not apply to breakfast offer.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SHA,MKTVWO,276,276,Deluxe King - 1 King Bed,Enjoy accommodations up to 10% off best available rate plus daily breakfast for adult when you pay with Visa card.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SHA,MKTEXC,288,288,Deluxe King - 1 King Bed,Free WiFi. Unrestricted room only rate.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SHA,MKTGBB,326,326,Deluxe King - 1 King Bed,Enjoy our best available rate - daily breakfast for adult *Daily breakfast offered to adult only age of 13 years old and higher. Children under 12 years old are not apply to breakfast offer.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SDK,MKTEXC,343,343,Junior Suite King - 1 King Bed,Free WiFi. Unrestricted room only rate.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SPKS,MKTEXC,343,343,Junior Suite Twin - 2 SGL Beds,Free WiFi. Unrestricted room only rate.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SPKS,MKTGBB,381,381,Junior Suite Twin - 2 SGL Beds,Enjoy our best available rate - daily breakfast for adult *Daily breakfast offered to adult only age of 13 years old and higher. Children under 12 years old are not apply to breakfast offer.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
SDK,MKTGBB,381,381,Junior Suite King - 1 King Bed,Enjoy our best available rate - daily breakfast for adult *Daily breakfast offered to adult only age of 13 years old and higher. Children under 12 years old are not apply to breakfast offer.   Guarantees Required   All reservations must be guaranteed with a credit card   Cancellation Policies   Cancel four days before arrival to avoid penalty charges or forfeiture of deposit.   Close Details
