Other Rates,Roomkey Rates
Other Rates Lower?,false
317,285
317,305
317,317
334,334
338,338
339,339
378,340
352,352
357,357
378,359
362,362
364,364
378,378
384,384
388,388
397,397
399,399
399,399
403,403
420,420
423,423
424,424
429,429
451,451
456,456
465,465
474,474
560,504
542,542
560,560
592,592
596,596
605,605
623,623
623,623
627,627
668,668
317,285
317,305
317,317
334,334
338,338
339,339
352,352
357,357
362,362
364,364
384,384
388,388
397,397
474,474
378,340
378,359
406,365
378,378
406,385
399,399
399,399
403,403
406,406
420,420
423,423
424,424
428,428
429,429
429,429
433,433
451,451
451,451
451,451
456,456
456,456
459,459
465,465
483,483
487,487
497,497
560,504
542,542
560,560
573,573
592,592
596,596
605,605
623,623
623,623
627,627
668,668
625,562
625,625
660,660
665,665
670,670
695,695
695,695
700,700
740,740
317,285
317,305
317,317
334,334
338,338
339,339
378,340
352,352
357,357
378,359
362,362
364,364
378,378
384,384
388,388
397,397
399,399
399,399
403,403
420,420
423,423
424,424
429,429
451,451
456,456
465,465
474,474
552,497
542,542
552,552
583,583
587,587
597,597
614,614
618,618
659,659
