Other Rates Lower?,true,THIS IS BAD
Other Rates,Roomkey Rates,Bad Rooms
311,282,
342,310,
311,311,
342,342,
311,343,OSNG:IKME2
345,345,
349,349,
362,362,
366,366,
342,370,TDXG:IKME2
375,375,
376,376,
379,379,
384,384,
398,398,
403,403,
405,405,
407,407,
412,412,
425,425,
441,441,
462,462,
335,304,
366,331,
335,335,
335,364,KDXG:IKME2
366,366,
371,371,
375,375,
389,389,
366,391,KFTG:IKME2
394,394,
398,398,
403,403,
405,405,
409,409,
425,425,
429,429,
430,430,
433,433,
439,439,
452,452,
467,467,
489,489,
696,629,
696,629,
696,689,
696,689,
696,696,
696,696,
759,759,
759,759,
775,775,
775,775,
779,779,
779,779,
814,814,
814,814,
819,819,
819,819,
828,828,
828,828,
837,837,
837,837,
878,878,
878,878,
995,995,
995,995,
311,282,
311,311,
366,331,
373,338,
311,343,CDXG:IKME2
345,345,
349,349,
362,362,
366,366,
366,366,
373,373,
375,375,
376,376,
366,391,CSPG:IKME2
373,398,TEXG:IKME2
405,405,
407,407,
409,409,
414,414,
418,418,
425,425,
425,425,
429,429,
430,430,
434,434,
436,436,
439,439,
439,439,
448,448,
467,467,
476,476,
489,489,
498,498,
